package_name	germany_version_name	germany_version_code	vietnam_version_name	vietnam_version_code	nigeria_version_name	nigeria_version_code	pakistan_version_name	pakistan_version_code	india_version_name	india_version_code	usa_version_name	usa_version_code	turkey_version_name	turkey_version_code	egypt_version_name	egypt_version_code	bangladesh_version_name	bangladesh_version_code	saudi_version_name	saudi_version_code
bloodpressure.bloodpressureapp.bloodpressuretracker	1.7.7	70	1.7.7	70	1.7.7	70	1.7.7	70	1.7.6	69	1.7.7	70	1.7.7	70	1.7.7	70	1.7.7	70	1.7.6	69
bloodpressure.bloodpressureapppro.bloodpressureapp	1.2.5	32	1.2.4	31	1.2.2	29	1.2.2	29	1.2.2	29	1.2.4	31	1.2.4	31	1.2.2	29	1.2.2	29	1.2.2	29
bloodpressuremonitor.bloodpressureapp.bpmonitor	1.6.7	35	1.6.5	33	1.6.7	35	1.6.7	35	1.6.7	35	1.6.5	33	1.6.5	33	1.6.7	35	1.6.7	35	1.6.7	35
bmicalculator.bmi.calculator.weightlosstracker	1.0.15	18	1.0.15	18	1.0.15	18	1.0.15	18	1.0.15	18	1.0.14	17	1.0.15	18	1.0.15	18	1.0.15	18	1.0.15	18
br.com.bb.oewallet	6.2.0.0	801	6.1.0.10	788	6.2.0.0	801	6.2.0.0	801	6.1.0.11	800	6.1.0.11	800	6.1.0.11	800	6.2.0.0	801	6.2.0.0	801	6.2.0.0	801
br.com.gringo	17.6.0	1730484460	17.5.0	1730131404	17.6.0	1730484460	17.6.0	1730484460	17.4.0	1728659866	17.5.0	1730131404	17.4.0	1728659866	17.6.0	1730484460	17.6.0	1730484460	17.6.0	1730484460
br.com.mobile2you.appgas.costumer	4.0.4	30324	4.0.3	30323	4.0.4	30324	4.0.4	30324	4.0.4	30324	4.0.3	30323	4.0.4	30324	4.0.4	30324	4.0.4	30324	4.0.4	30324
br.com.promobit.app	3.24.0	3240000	3.24.0	3240000	3.24.0	3240000	3.24.0	3240000	4.0.2	4020001	3.24.0	3240000	3.24.0	3240000	3.24.0	3240000	3.24.0	3240000	3.24.0	3240000
br.com.unidas.apprac.android	3.0.0	240	3.0.0	240	3.0.0	240	3.0.0	240	3.0.0	240	2.25.85	239	2.25.85	239	3.0.0	240	3.0.0	240	3.0.0	240
br.tv.horizonte.android.premierefc	6.18.4	420	6.18.1	412	6.18.4	420	6.18.4	420	6.18.1	412	6.18.1	412	6.18.4	420	6.18.4	420	6.18.4	420	6.18.4	420
bubble.shooter.classic.arcade.free	1.49.305	1493053	1.49.305	1493053	1.49.305	1493053	1.49.305	1493053	1.49.305	1493053	1.48.305	1483054	1.49.305	1493053	1.49.305	1493053	1.49.305	1493053	1.49.305	1493053
bubble.shooter.pop.puzzle.game	3.821	3821	3.811	3811	3.821	3821	3.811	3811	3.821	3821	3.821	3821	3.811	3811	3.821	3821	3.811	3811	3.821	3821
bwebmedia.cookbakedlasagna	12.1.1	12001001	12.1.1	12001001	12.1.1	12001001	12.1.1	12001001	12.1.2	12001002	12.1.1	12001001	12.1.1	12001001	12.1.1	12001001	12.1.1	12001001	12.1.1	12001001
by.giveaway.app	4.35.705-BY	705	4.35.705-BY	705	4.35.705-BY	705	4.35.705-BY	705	4.35.705-BY	705	4.31.706-US	706	4.35.705-BY	705	4.35.705-BY	705	4.35.705-BY	705	4.35.705-BY	705
by.green.tuber	0.1.5.6	105	0.1.5.4	103	0.1.5.6	105	0.1.5.6	105	0.1.5.4	103	0.1.5.3	102	0.1.5.4	103	0.1.5.6	105	0.1.5.6	105	0.1.5.6	105
by.tut.nurkz.android	8.12.0	351	8.11.0	343	8.12.0	351	8.12.0	351	8.11.0	343	8.10.0	341	8.11.0	343	8.12.0	351	8.12.0	351	8.12.0	351
calendar.agenda.calendarplanner.agendaplanner	2.06.32.1106	1000164	2.06.29.1025	1000161	2.06.32.1106	1000164	2.06.32.1106	1000164	2.06.29.1025	1000161	2.06.30.1030	1000162	2.06.29.1025	1000161	2.06.32.1106	1000164	2.06.32.1106	1000164	2.06.32.1106	1000164
cast.video.screenmirroring.casttotv	2.3.7.1	237100	2.3.8	238005	2.3.8.1	238100	2.3.7.1	237100	2.3.7.1	237100	2.3.8	238005	2.3.7.1	237100	2.3.8.1	238100	2.3.8.1	238100	2.3.7.1	237100
cast.video.tool.screenmirroring.casttotv	1.7.8	178	1.7.7	177	1.7.7	177	1.7.8	178	1.7.7	177	1.7.6.7	176	1.7.7	177	1.7.7	177	1.7.8	178	1.7.8	178
ca.tsn.mobile.android	4.30.0	7027025	4.30.0	7027025	4.30.0	7027025	4.29.1	6934023	4.29.1	6934023	4.29.1	6934023	4.30.0	7027025	4.29.1	6934023	4.29.1	6934023	4.29.1	6934023
cdff.mobileapp	28.1	207	28.1	207	28.1	207	28.1	207	28.1	207	28.1	207	27.9	205	28.1	207	28.1	207	28.1	207
classic.klondike.solitaire.cardgame.patience.lite	1.0.33	33	1.0.33	33	1.0.33	33	1.0.33	33	1.0.31	31	1.0.33	33	1.0.33	33	1.0.33	33	1.0.33	33	1.0.33	33
cloth_remover.girls_face_emoji_remover_body_photo_editor	1.3	4	11.1	11	1.3	4	11.1	11	11.1	11	1.3	4	11.1	11	1.3	4	1.3	4	1.3	4
cn.fitdays.fitdays	1.22.7	202	1.22.7	202	1.22.7	202	1.22.7	202	1.22.5	201	1.22.7	202	1.22.5	201	1.22.7	202	1.22.7	202	1.22.7	202
cn.futu.trader	14.39.18108	18108	14.39.18108	18108	14.39.18108	18108	14.39.18108	18108	14.39.18108	18108	14.38.18008	18008	14.39.18108	18108	14.39.18108	18108	14.39.18108	18108	14.39.18108	18108
cn.gem.android	1.0.81	2024110602	1.0.79	2024102301	1.0.81	2024110602	1.0.81	2024110602	1.0.80.2	2024110100	1.0.80.2	2024110100	1.0.80.2	2024110100	1.0.81	2024110602	1.0.81	2024110602	1.0.81	2024110602
co.go.fynd	5.0.5	505	5.0.4	504	5.0.5	505	5.0.5	505	5.0.4	504	5.0.4	504	5.0.5	505	5.0.5	505	5.0.5	505	5.0.5	505
co.il.panet.activity	4.4.5	47	4.4.5	47	4.4.4	46	4.4.4	46	4.4.4	46	4.4.4	46	4.4.5	47	4.4.4	46	4.4.4	46	4.4.4	46
coloring.car.paint.drawing.color.book	2.2401	22401	2.2301	22301	2.2401	22401	2.2401	22401	2.2401	22401	2.2401	22401	2.2301	22301	2.2401	22401	2.2401	22401	2.2401	22401
coloring.pages.paint.color.by.number	2.2401	22401	2.2401	22401	2.2401	22401	2.2301	22301	2.2301	22301	2.2401	22401	2.2401	22401	2.2301	22301	2.2401	22401	2.2301	22301
com.aa.puffup	2.8.18	1531	2.8.16	1441	2.8.18	1531	2.8.18	1531	2.8.16	1441	2.8.16	1441	2.8.15	1429	2.8.18	1531	2.8.18	1531	2.8.18	1531
com.abinbev.android.tapwiser.beesPeru	25.15	25150027	25.14	25140031	25.15	25150027	25.15	25150027	25.15	25150027	25.14	25140031	25.14	25140031	25.15	25150027	25.15	25150027	25.15	25150027
com.abrar.volumeboost	13.3.6	850	13.3.6	850	13.3.6	850	13.3.6	850	13.3.5.6	842	13.3.5.6	842	13.3.5.6	842	13.3.6	850	13.3.6	850	13.3.6	850
com.aceviral.smashycity	3.3.0	68	3.3.1	69	3.3.0	68	3.3.0	68	3.3.1	69	3.3.0	68	3.3.1	69	3.3.0	68	3.3.1	69	3.3.0	68
com.addcn.car8891	4.50.7	274	4.50.6	273	4.50.7	274	4.50.7	274	4.50.7	274	4.50.7	274	4.50.6	273	4.50.7	274	4.50.7	274	4.50.7	274
com.adeo.android.app	8.38.0	8380000	8.38.0	8380000	8.38.0	8380000	8.38.0	8380000	8.37.0	8370000	8.38.0	8380000	8.38.0	8380000	8.38.0	8380000	8.38.0	8380000	8.38.0	8380000
com.adopteunmec.androidfr	5.4.4	681	5.4.4	681	5.4.4	681	5.4.5	682	5.4.4	681	5.4.0	677	5.4.4	681	5.4.5	682	5.4.5	682	5.4.5	682
com.advant.streamer	223.0.0	22300	223.0.0	22300	223.0.0	22300	223.0.0	22300	223.0.0	22300	222.0.1	22201	223.0.0	22300	223.0.0	22300	223.0.0	22300	223.0.0	22300
com.aesthetic.iconpack.iconchanger	13.8.3	161	13.8.5	162	13.8.3	161	13.8.3	161	13.8.3	161	13.8.3	161	13.8.3	161	13.8.3	161	13.8.3	161	13.8.3	161
com.afklm.mobile.android.gomobile.klm	15.2.0	70539	15.1.2	70534	15.2.0	70539	15.2.0	70539	15.2.0	70539	15.2.0	70539	15.1.2	70534	15.2.0	70539	15.2.0	70539	15.2.0	70539
com.africasunrise.skinseed	6.5.13	187	6.5.12	186	6.5.12	186	6.5.13	187	6.5.12	186	6.5.12	186	6.5.13	187	6.5.12	186	6.5.13	187	6.5.12	186
com.aiart.aigenerator.aifilter.aieditor	1.7.1	171	1.7.1	171	1.8.0	180	1.8.0	180	1.7.1	171	1.8.0	180	1.7.1	171	1.8.0	180	1.7.1	171	1.7.1	171
com.ai.chat.bot.aichat	2.0.9	209	2.0.7	207	2.0.9	209	2.0.9	209	2.0.9	209	2.0.9	209	2.0.7	207	2.0.9	209	2.0.9	209	2.0.9	209
com.aigc.ushow.ichat	1.58.0	44451922	1.58.0	44451922	1.58.0	44451922	1.58.0	44451922	1.57.2	44431803	1.57.2	44431803	1.57.2	44431803	1.58.0	44451922	1.58.0	44451922	1.58.0	44451922
com.ailiyong.world.course	10.03.05.10	10030510	10.03.05.12	10030512	10.03.05.10	10030510	10.03.05.10	10030510	10.03.05.10	10030510	10.03.05.10	10030510	10.03.05.10	10030510	10.03.05.10	10030510	10.03.05.12	10030512	10.03.05.12	10030512
com.ai.photoeditor.fx	1.9.4	94	1.9.1	91	1.9.4	94	1.9.4	94	1.9.4	94	1.9.1	91	1.9.4	94	1.9.4	94	1.9.4	94	1.9.4	94
com.airfrance.android.dinamoprd	15.2.0	70539	15.2.0	70539	15.2.0	70539	15.2.0	70539	15.1.2	70534	15.1.2	70534	15.1.2	70534	15.2.0	70539	15.2.0	70539	15.2.0	70539
com.airhorn.funny.prank.sounds	1.3.8	90	1.3.7	88	1.3.8	90	1.3.8	90	1.3.7	88	1.3.7	88	1.3.8	90	1.3.8	90	1.3.8	90	1.3.8	90
com.airnav.radarbox	2.7.8	20220799	2.7.7	20220792	2.7.8	20220799	2.7.8	20220799	2.7.7	20220792	2.7.7	20220792	2.7.8	20220799	2.7.8	20220799	2.7.8	20220799	2.7.8	20220799
com.aksis.whocalls	2.79	79	2.79	79	2.86	86	2.86	86	2.86	86	2.79	79	2.86	86	2.79	79	2.79	79	2.79	79
com.alexnsbmr.fontify	0.0.46	46	0.0.46	46	0.0.46	46	0.0.46	46	0.0.51	51	0.0.51	51	0.0.46	46	0.0.46	46	0.0.46	46	0.0.46	46
com.alfaondo.monstersgang	5.0.1	114	5.0.1	114	5.0.1	114	5.0.1	114	4.2.2	104	4.2.2	104	5.0.1	114	5.0.1	114	5.0.2	118	5.0.1	114
com.alk.copilot.mapviewer	10.28.2.155	102820155	10.28.2.155	102820155	11.0.0.1539	110001539	10.28.2.155	102820155	10.28.2.155	102820155	11.0.0.1539	110001539	10.28.2.155	102820155	10.28.2.155	102820155	11.0.0.1539	110001539	11.0.0.1539	110001539
com.allenmm.archery	3.59	359	3.55	355	3.59	359	3.59	359	3.58	358	3.55	355	3.55	355	3.59	359	3.59	359	3.55	355
com.allrcs.hisense_remote	6.0.3.3	39	6.0.3.3	39	6.0.3.3	39	6.0.3.3	39	6.0.3.3	39	6.2.0.1	40	6.0.3.3	39	6.2.0.1	40	6.2.0.1	40	6.2.0.1	40
com.allrcs.mibox	6.2.0.1	98	6.2.0.1	98	6.0.3.4	97	6.0.3.4	97	6.2.0.1	98	6.2.0.1	98	6.2.0.1	98	6.0.3.4	97	6.2.0.1	98	6.0.3.4	97
com.allrcs.philips_remote	6.2.0.1	48	6.0.3.3	47	6.2.0.1	48	6.2.0.1	48	6.0.3.3	47	6.0.3.3	47	6.2.0.1	48	6.0.3.3	47	6.0.3.3	47	6.2.0.1	48
com.al.policequest	24.8.19	614	24.8.19	614	24.8.19	614	24.2.28	613	24.2.28	613	24.8.19	614	24.8.19	614	24.8.19	614	24.8.19	614	24.2.28	613
com.al.supermarkettycoon	24.8.2	30	24.8.2	30	24.3.4	28	24.8.2	30	24.8.2	30	24.8.2	30	24.8.2	30	24.3.4	28	24.3.4	28	24.3.4	28
com.amazfitwatchfaces.st	4.6	382	4.6	382	4.6	382	4.6	382	4.6	382	4.6	381	4.6	381	4.6	382	4.6	381	4.6	382
com.amazon.mp3	24.20.1	524200110	24.19.1	524190110	24.20.1	524200110	24.20.1	524200110	24.20.0	524200010	24.19.1	524190110	24.19.1	524190110	24.20.1	524200110	24.20.1	524200110	24.20.1	524200110
com.amctve.amcfullepisodes	7.4.11.1	172710403	7.4.11.1	172710403	7.4.11.1	172710403	7.4.11.1	172710403	7.4.6.1	172081329	7.4.6.1	172081329	7.4.11.1	172710403	7.4.11.1	172710403	7.4.11.1	172710403	7.4.11.1	172710403
com.americanexpress.android.acctsvcs.uk	7.13.1	131031	7.12.2	130069	7.13.1	131031	7.13.1	131031	7.12.2	130069	7.12.2	130069	7.13.1	131031	7.13.1	131031	7.13.1	131031	7.13.1	131031
com.americanexpress.android.acctsvcs.us	7.13.1	131031	7.12.3	130071	7.13.1	131031	7.13.1	131031	7.12.3	130071	7.12.3	130071	7.13.1	131031	7.13.1	131031	7.13.1	131031	7.13.1	131031
com.anddgn.dr.main	20241103	20241103	20241103	20241103	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20240818	20241103	20241103
com.androidrocker.qrscanner	1.2.11	101	1.2.11	101	1.2.11	101	1.2.11	101	1.2.26	106	1.2.11	101	1.2.11	101	1.2.11	101	1.2.11	101	1.2.11	101
com.androvid	6.8.1.0	6810	6.8.2	6820	6.8.2	6820	6.8.2	6820	6.8.1.0	6810	6.8.1.0	6810	6.8.1.0	6810	6.8.1.0	6810	6.8.1.0	6810	6.8.2	6820
com.AndSouls.IslamicNamesUrdu	1.2	3	1.2	3	1.9	10	1.2	3	1.9	10	1.2	3	1.2	3	1.2	3	1.2	3	1.2	3
com.anime.popular.fan.art.wallpapers.backgrounds.uhd4k.walltech	1.9.24	114	1.9.19	109	1.9.24	114	1.9.24	114	1.9.22	112	1.9.19	109	1.9.19	109	1.9.24	114	1.9.24	114	1.9.24	114
com.anoshenko.android.solitaires	4.20.0	205	4.20.0	205	4.20.0	205	4.20.0	205	4.20.0	205	4.20.2	207	4.20.0	205	4.20.0	205	4.20.0	205	4.20.2	207
com.apartments.mobile.android	13.0.23	3003261	13.0.23	3003261	13.1.0	3003263	13.0.23	3003261	13.1.0	3003263	13.1.0	3003263	13.0.23	3003261	13.0.23	3003261	13.0.23	3003261	13.1.0	3003263
com.apollo.patientapp	7.13.0	460	7.13.0	460	7.13.0	460	7.13.0	460	7.12.1	456	7.13.0	460	7.13.0	460	7.13.0	460	7.13.0	460	7.13.0	460
com.app2game.romantic.photo.frames	1.59	60	1.59	60	1.60	61	1.59	60	1.59	60	1.60	61	1.59	60	1.60	61	1.60	61	1.59	60
com.app.abhibus	4.0.241	230	4.0.241	230	4.0.241	230	4.0.241	230	4.0.241	230	4.0.240	229	4.0.240	229	4.0.241	230	4.0.241	230	4.0.241	230
com.app.floatingapptimer.com	5.0.1	208	5.0.1	206	5.0.1	208	5.0.1	208	4.5.5	204	4.5.5	204	5.0.1	206	5.0.1	208	5.0.1	208	5.0.1	208
com.applocker.applock.apps.lock.fingerprint.locker	2.0	41	2.0	41	2.0	41	2.0	41	1.3.9	40	2.0	41	2.0	41	2.0	41	2.0	41	2.0	41
com.app.recover.deleted.messages.messagerecovery.restoredeletedmessages	913.6	131	914.6	132	914.6	132	914.6	132	913.6	131	913.6	131	913.6	131	913.6	131	914.6	132	913.6	131
com.app.resort.time.warp.scan.face.scanner.offline	1.3.4	35	1.3.4	35	1.3.4	35	1.3.4	35	1.3.7	38	1.3.4	35	1.3.4	35	1.3.4	35	1.3.4	35	1.3.4	35
com.appriss.vinemobile	2.25	225	2.25	225	2.25	225	2.25	225	2.25	225	2.25	225	2.26	226	2.25	225	2.25	225	2.25	225
com.appsci.tenwords	5.0.0	632	4.53.1	628	5.0.0	632	5.0.0	632	5.0.0	632	4.53.1	628	4.53.1	628	5.0.0	632	5.0.0	632	5.0.0	632
com.appspot.orium_blog.crossword.eng	2.4.0	79	2.3.5	78	2.4.0	79	2.4.0	79	2.4.0	79	2.3.5	78	2.3.5	78	2.4.0	79	2.4.0	79	2.4.0	79
com.appsvolume.mostPopularRingtonesFree	4.1	60	4.06	54	4.1	60	4.1	60	4.1	60	4.1	60	4.06	54	4.06	54	4.06	54	4.06	54
com.appswing.qr.barcodescanner.barcodereader	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89	1.9.8	89
com.appswing.qrcodereader.barcodescanner.qrscanner	1.0.74	75	1.0.73	74	1.0.74	75	1.0.74	75	1.0.71	72	1.0.73	74	1.0.71	72	1.0.71	72	1.0.71	72	1.0.74	75
com.app.videoeditor.videoallinone	2.0.25	54	2.0.24	53	2.0.24	53	2.0.24	53	2.0.24	53	2.0.24	53	2.0.25	54	2.0.25	54	2.0.24	53	2.0.24	53
com.appwallet.menabseditor	3.0	21	3.0	21	3.1	22	3.0	21	3.0	21	3.1	22	3.0	21	3.1	22	3.1	22	3.1	22
com.appxstudio.postro	1.3.8	107	1.3.8	107	1.3.8	107	1.3.8	107	1.3.8	107	1.3.5	98	1.3.8	107	1.3.8	107	1.3.8	107	1.3.8	107
com.aresmob.scantranslator	3.8	31	3.8	31	3.8	31	3.8	31	3.8	31	3.8	31	3.8	31	3.7	30	3.8	31	3.7	30
com.arireuh.mcpeaddons	1.9.0	190	1.9.0	190	1.9.1	191	1.9.1	191	1.9.0	190	1.9.1	191	1.9.0	190	1.9.0	190	1.9.0	190	1.9.0	190
com.arlabsmobile.altimeterfree	2.3.16	23163	2.4.2	24023	2.3.16	23163	2.3.16	23163	2.3.16	23163	2.4.2	24023	2.3.16	23163	2.3.16	23163	2.3.16	23163	2.3.16	23163
com.arruler.cam.measure	0.2.8	31	0.2.8	31	0.2.8	31	0.2.8	31	0.2.7	30	0.2.7	30	0.2.7	30	0.2.8	31	0.2.8	31	0.2.8	31
com.arthome.squareart	3.3.5.0	97	3.3.4.0	96	3.3.5.0	97	3.3.5.0	97	3.3.5.0	97	3.3.5.0	97	3.3.5.0	97	3.3.4.0	96	3.3.4.0	96	3.3.5.0	97
com.asmr.simulation.beauty.salon.decorate.story.gp	1.2.5	33	1.2.5	33	1.2.5	33	1.2.6	34	1.2.5	33	1.2.5	33	1.2.5	33	1.2.5	33	1.2.5	33	1.2.6	34
com.atesgamestudio.rollance	0.14.57	119	0.14.53	113	0.14.57	119	0.14.57	119	0.14.53	113	0.14.57	119	0.14.57	119	0.14.57	119	0.14.57	119	0.14.57	119
com.atomczak.notepat	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80	1.36.1	80
com.ausmallfinancebank.amb	21.9.37	210937	21.9.37	210937	21.9.34	210934	21.9.34	210934	21.9.37	210937	21.9.34	210934	21.9.34	210934	21.9.34	210934	21.9.34	210934	21.9.34	210934
com.austrian.connector.android	7.444.1	1686208848	7.444.1	1686208848	7.444.1	1686208848	7.444.1	1686208848	7.440.0	1686208843	7.440.0	1686208843	7.444.1	1686208848	7.444.1	1686208848	7.444.1	1686208848	7.444.1	1686208848
com.autodatetimestamp.timestampcamera	1.3.4	134	1.3.4	134	1.3.4	134	1.3.4	134	1.3.4	134	1.3.4	134	1.3.3	133	1.3.4	134	1.3.4	134	1.3.5	135
com.autolist.autolist	13.36.0	481	13.35.0	480	13.36.0	481	13.36.0	481	13.35.0	480	13.36.0	481	13.35.0	480	13.36.0	481	13.36.0	481	13.36.0	481
com.avatarmaker.cartoonmaker	4.3	16	4.2	15	4.3	16	4.3	16	4.2	15	4.2	15	4.3	16	4.2	15	4.3	16	4.3	16
com.axion.voicescreenlock	12.0	101	11.8	99	12.0	101	12.0	101	11.8	99	12.0	101	11.8	99	12.0	101	12.0	101	12.0	101
com.axisidp.mobile	3.0	112	2.9	102	3.0	112	2.8	100	2.9	102	2.9	102	2.9	102	3.0	112	3.0	112	2.8	100
com.babydola.launcherios	5.1.36	280	5.1.33	272	5.1.36	280	5.1.36	280	5.1.33	272	5.1.33	272	5.1.36	280	5.1.36	280	5.1.36	280	5.1.36	280
com.baby.toddler.games	4.3.14	4003014	4.3.14	4003014	4.3.14	4003014	4.3.14	4003014	4.3.13	4003013	4.3.14	4003014	4.3.13	4003013	4.3.14	4003014	4.3.14	4003014	4.3.14	4003014
com.backup.and.restore.all.apps.photo.backup	1.1.0	100	1.1.0	100	1.1.0	100	1.1.0	100	1.1.0	100	1.98	98	1.1.0	100	1.1.0	100	1.98	98	1.1.0	100
com.baiwang.styleinstashape	3.6.1.0	72	3.6.1.0	72	3.6.0.2	71	3.6.0.2	71	3.6.0.2	71	3.6.1.0	72	3.6.1.0	72	3.6.0.2	71	3.6.1.0	72	3.6.0.2	71
